date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:52:42	304997/304997	---M-Z	200	added ('OK')	text/html	etag:%22b73473cc2af84f0a9e9ea91eae8ab428%22	https://beloved-ideas-595751.framer.app/	./site/beloved-ideas-595751.framer.app/index.html	(from )
18:52:42	109/109	---M-Z	200	added ('OK')	text/plain	etag:%229578de7150dfe2709af51d9eaedd0fa7%22	https://beloved-ideas-595751.framer.app/robots.txt		(from )
18:52:43	144314/144314	---MC-	200	added ('OK')	image/jpeg	etag:%22bb464b40d84ef30974762a5a92cfd253%22	https://framerusercontent.com/images/nTO2oZOGlCgCWiLsQgyT1zbM.jpg	./site/framerusercontent.com/images/nTO2oZOGlCgCWiLsQgyT1zbM.jpg	(from https://beloved-ideas-595751.framer.app/)
18:52:44	26944/26944	---M--	200	added ('OK')	font/woff2	date:Thu,%2004%20Sep%202025%2017:09:25%20GMT	https://fonts.gstatic.com/s/montserrat/v31/JTUQjIg1_i6t8kCHKm459WxRxC7mw9c.woff2	./site/fonts.gstatic.com/s/montserrat/v31/JTUQjIg1_i6t8kCHKm459WxRxC7mw9c.woff2	(from https://beloved-ideas-595751.framer.app/)
18:52:45	24536/24536	---M--	200	added ('OK')	font/woff2	date:Thu,%2004%20Sep%202025%2017:09:26%20GMT	https://fonts.gstatic.com/s/montserrat/v31/JTUQjIg1_i6t8kCHKm459WxRzS7mw9c.woff2	./site/fonts.gstatic.com/s/montserrat/v31/JTUQjIg1_i6t8kCHKm459WxRzS7mw9c.woff2	(from https://beloved-ideas-595751.framer.app/)
18:52:46	13900/13900	---M--	200	added ('OK')	font/woff2	date:Thu,%2004%20Sep%202025%2017:09:28%20GMT	https://fonts.gstatic.com/s/montserrat/v31/JTUQjIg1_i6t8kCHKm459WxRxi7mw9c.woff2	./site/fonts.gstatic.com/s/montserrat/v31/JTUQjIg1_i6t8kCHKm459WxRxi7mw9c.woff2	(from https://beloved-ideas-595751.framer.app/)
18:52:47	74892/74892	---M--	200	added ('OK')	font/woff2	date:Thu,%2004%20Sep%202025%2017:10:13%20GMT	https://fonts.gstatic.com/s/montserrat/v31/JTUQjIg1_i6t8kCHKm459WxRxy7mw9c.woff2	./site/fonts.gstatic.com/s/montserrat/v31/JTUQjIg1_i6t8kCHKm459WxRxy7mw9c.woff2	(from https://beloved-ideas-595751.framer.app/)
18:52:48	39632/39632	---M--	200	added ('OK')	font/woff2	date:Thu,%2004%20Sep%202025%2017:10:28%20GMT	https://fonts.gstatic.com/s/montserrat/v31/JTUQjIg1_i6t8kCHKm459WxRyS7m.woff2	./site/fonts.gstatic.com/s/montserrat/v31/JTUQjIg1_i6t8kCHKm459WxRyS7m.woff2	(from https://beloved-ideas-595751.framer.app/)
18:52:49	26368/26368	---M--	200	added ('OK')	font/woff2	date:Thu,%2004%20Sep%202025%2017:09:19%20GMT	https://fonts.gstatic.com/s/montserrat/v31/JTUSjIg1_i6t8kCHKm459WRhyzbi.woff2	./site/fonts.gstatic.com/s/montserrat/v31/JTUSjIg1_i6t8kCHKm459WRhyzbi.woff2	(from https://beloved-ideas-595751.framer.app/)
18:52:50	23828/23828	---M--	200	added ('OK')	font/woff2	date:Thu,%2004%20Sep%202025%2017:11:54%20GMT	https://fonts.gstatic.com/s/montserrat/v31/JTUSjIg1_i6t8kCHKm459W1hyzbi.woff2	./site/fonts.gstatic.com/s/montserrat/v31/JTUSjIg1_i6t8kCHKm459W1hyzbi.woff2	(from https://beloved-ideas-595751.framer.app/)
18:52:51	12928/12928	---M--	200	added ('OK')	font/woff2	date:Thu,%2004%20Sep%202025%2017:10:10%20GMT	https://fonts.gstatic.com/s/montserrat/v31/JTUSjIg1_i6t8kCHKm459WZhyzbi.woff2	./site/fonts.gstatic.com/s/montserrat/v31/JTUSjIg1_i6t8kCHKm459WZhyzbi.woff2	(from https://beloved-ideas-595751.framer.app/)
18:52:52	70688/70688	---M--	200	added ('OK')	font/woff2	date:Thu,%2004%20Sep%202025%2017:10:57%20GMT	https://fonts.gstatic.com/s/montserrat/v31/JTUSjIg1_i6t8kCHKm459Wdhyzbi.woff2	./site/fonts.gstatic.com/s/montserrat/v31/JTUSjIg1_i6t8kCHKm459Wdhyzbi.woff2	(from https://beloved-ideas-595751.framer.app/)
18:52:53	37956/37956	---M--	200	added ('OK')	font/woff2	date:Thu,%2004%20Sep%202025%2017:09:22%20GMT	https://fonts.gstatic.com/s/montserrat/v31/JTUSjIg1_i6t8kCHKm459Wlhyw.woff2	./site/fonts.gstatic.com/s/montserrat/v31/JTUSjIg1_i6t8kCHKm459Wlhyw.woff2	(from https://beloved-ideas-595751.framer.app/)
18:52:54	10136/10136	---M--	200	added ('OK')	font/woff2	date:Tue,%2016%20Sep%202025%2013:41:38%20GMT	https://fonts.gstatic.com/s/calistoga/v18/6NUU8F2OJg6MeR7l4e0fvMwB8dQ.woff2	./site/fonts.gstatic.com/s/calistoga/v18/6NUU8F2OJg6MeR7l4e0fvMwB8dQ.woff2	(from https://beloved-ideas-595751.framer.app/)
18:52:55	38204/38204	---M--	200	added ('OK')	font/woff2	date:Tue,%2016%20Sep%202025%2013:41:41%20GMT	https://fonts.gstatic.com/s/calistoga/v18/6NUU8F2OJg6MeR7l4e0fvcwB8dQ.woff2	./site/fonts.gstatic.com/s/calistoga/v18/6NUU8F2OJg6MeR7l4e0fvcwB8dQ.woff2	(from https://beloved-ideas-595751.framer.app/)
18:52:56	41384/41384	---M--	200	added ('OK')	font/woff2	date:Tue,%2016%20Sep%202025%2013:41:40%20GMT	https://fonts.gstatic.com/s/calistoga/v18/6NUU8F2OJg6MeR7l4e0fs8wB.woff2	./site/fonts.gstatic.com/s/calistoga/v18/6NUU8F2OJg6MeR7l4e0fs8wB.woff2	(from https://beloved-ideas-595751.framer.app/)
18:52:57	12036/12036	---M--	200	added ('OK')	font/woff2	date:Thu,%2004%20Sep%202025%2017:09:26%20GMT	https://fonts.gstatic.com/s/montserrat/v31/JTUFjIg1_i6t8kCHKm459Wx7xQYXK0vOoz6jqw16WXV0poK5.woff2	./site/fonts.gstatic.com/s/montserrat/v31/JTUFjIg1_i6t8kCHKm459Wx7xQYXK0vOoz6jqw16WXV0poK5.woff2	(from https://beloved-ideas-595751.framer.app/)
18:52:58	11168/11168	---M--	200	added ('OK')	font/woff2	date:Thu,%2004%20Sep%202025%2017:08:59%20GMT	https://fonts.gstatic.com/s/montserrat/v31/JTUFjIg1_i6t8kCHKm459Wx7xQYXK0vOoz6jqw16WXx0poK5.woff2	./site/fonts.gstatic.com/s/montserrat/v31/JTUFjIg1_i6t8kCHKm459Wx7xQYXK0vOoz6jqw16WXx0poK5.woff2	(from https://beloved-ideas-595751.framer.app/)
18:52:58	8128/8128	---M--	200	added ('OK')	font/woff2	date:Thu,%2004%20Sep%202025%2017:09:44%20GMT	https://fonts.gstatic.com/s/montserrat/v31/JTUFjIg1_i6t8kCHKm459Wx7xQYXK0vOoz6jqw16WXd0poK5.woff2	./site/fonts.gstatic.com/s/montserrat/v31/JTUFjIg1_i6t8kCHKm459Wx7xQYXK0vOoz6jqw16WXd0poK5.woff2	(from https://beloved-ideas-595751.framer.app/)
18:53:00	33800/33800	---M--	200	added ('OK')	font/woff2	date:Thu,%2004%20Sep%202025%2017:10:17%20GMT	https://fonts.gstatic.com/s/montserrat/v31/JTUFjIg1_i6t8kCHKm459Wx7xQYXK0vOoz6jqw16WXZ0poK5.woff2	./site/fonts.gstatic.com/s/montserrat/v31/JTUFjIg1_i6t8kCHKm459Wx7xQYXK0vOoz6jqw16WXZ0poK5.woff2	(from https://beloved-ideas-595751.framer.app/)
18:53:01	18624/18624	---M--	200	added ('OK')	font/woff2	date:Thu,%2004%20Sep%202025%2017:10:29%20GMT	https://fonts.gstatic.com/s/montserrat/v31/JTUFjIg1_i6t8kCHKm459Wx7xQYXK0vOoz6jqw16WXh0pg.woff2	./site/fonts.gstatic.com/s/montserrat/v31/JTUFjIg1_i6t8kCHKm459Wx7xQYXK0vOoz6jqw16WXh0pg.woff2	(from https://beloved-ideas-595751.framer.app/)
18:53:02	11572/11572	---M--	200	added ('OK')	font/woff2	date:Thu,%2004%20Sep%202025%2017:09:21%20GMT	https://fonts.gstatic.com/s/montserrat/v31/JTUHjIg1_i6t8kCHKm4532VJOt5-QNFgpCvC73w0aXpsog.woff2	./site/fonts.gstatic.com/s/montserrat/v31/JTUHjIg1_i6t8kCHKm4532VJOt5-QNFgpCvC73w0aXpsog.woff2	(from https://beloved-ideas-595751.framer.app/)
18:53:03	10908/10908	---M--	200	added ('OK')	font/woff2	date:Thu,%2004%20Sep%202025%2017:10:07%20GMT	https://fonts.gstatic.com/s/montserrat/v31/JTUHjIg1_i6t8kCHKm4532VJOt5-QNFgpCvC73w9aXpsog.woff2	./site/fonts.gstatic.com/s/montserrat/v31/JTUHjIg1_i6t8kCHKm4532VJOt5-QNFgpCvC73w9aXpsog.woff2	(from https://beloved-ideas-595751.framer.app/)
18:53:03	7832/7832	---M--	200	added ('OK')	font/woff2	date:Thu,%2004%20Sep%202025%2017:10:13%20GMT	https://fonts.gstatic.com/s/montserrat/v31/JTUHjIg1_i6t8kCHKm4532VJOt5-QNFgpCvC73w2aXpsog.woff2	./site/fonts.gstatic.com/s/montserrat/v31/JTUHjIg1_i6t8kCHKm4532VJOt5-QNFgpCvC73w2aXpsog.woff2	(from https://beloved-ideas-595751.framer.app/)
18:53:05	32420/32420	---M--	200	added ('OK')	font/woff2	date:Thu,%2004%20Sep%202025%2017:09:58%20GMT	https://fonts.gstatic.com/s/montserrat/v31/JTUHjIg1_i6t8kCHKm4532VJOt5-QNFgpCvC73w3aXpsog.woff2	./site/fonts.gstatic.com/s/montserrat/v31/JTUHjIg1_i6t8kCHKm4532VJOt5-QNFgpCvC73w3aXpsog.woff2	(from https://beloved-ideas-595751.framer.app/)
18:53:06	18020/18020	---M--	200	added ('OK')	font/woff2	date:Thu,%2004%20Sep%202025%2017:09:31%20GMT	https://fonts.gstatic.com/s/montserrat/v31/JTUHjIg1_i6t8kCHKm4532VJOt5-QNFgpCvC73w5aXo.woff2	./site/fonts.gstatic.com/s/montserrat/v31/JTUHjIg1_i6t8kCHKm4532VJOt5-QNFgpCvC73w5aXo.woff2	(from https://beloved-ideas-595751.framer.app/)
18:53:06	1561/1561	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2020%20Jan%202026%2010:53:06%20GMT	https://fonts.gstatic.com/	./site/fonts.gstatic.com/index.html	(from https://beloved-ideas-595751.framer.app/)
18:53:07	237222/237222	---M-Z	200	added ('OK')	text/html	etag:%222d87c8c7c22130d34c8d6d919874b64e%22	https://beloved-ideas-595751.framer.app/blog	./site/beloved-ideas-595751.framer.app/blog.html	(from https://beloved-ideas-595751.framer.app/)
18:53:08	209047/209047	---M-Z	200	added ('OK')	text/html	etag:%22e1966b6c9369862a1556744b6b2275eb%22	https://beloved-ideas-595751.framer.app/contact	./site/beloved-ideas-595751.framer.app/contact.html	(from https://beloved-ideas-595751.framer.app/)
18:53:08	255/255	---MC-	200	added ('OK')	image/svg+xml	etag:%22c9967c7f6233271b581b8a8edbd2f706%22	https://framerusercontent.com/images/c0EZxtMucSR6UOSZk2TBnWsqr4.svg?width=96&height=96	./site/framerusercontent.com/images/c0EZxtMucSR6UOSZk2TBnWsqr450a7.svg	(from https://beloved-ideas-595751.framer.app/)
18:53:10	144314/144314	---MC-	200	added ('OK')	image/jpeg	etag:%22bb464b40d84ef30974762a5a92cfd253%22	https://framerusercontent.com/images/nTO2oZOGlCgCWiLsQgyT1zbM.jpg?width=1024&height=1024	./site/framerusercontent.com/images/nTO2oZOGlCgCWiLsQgyT1zbM90ee.jpg	(from https://beloved-ideas-595751.framer.app/)
18:53:11	278664/278664	---M-Z	200	added ('OK')	text/html	etag:%225a3d8f422e87abefc3b2c11db430a53f%22	https://beloved-ideas-595751.framer.app/blog/aprilleaf	./site/beloved-ideas-595751.framer.app/blog/aprilleaf.html	(from https://beloved-ideas-595751.framer.app/)
18:53:12	168869/168869	---MC-	200	added ('OK')	image/jpeg	etag:%228687b5a1730584fb3446d82db1f133a8%22	https://framerusercontent.com/images/x7smEFjrGw9ef3ZVZHzVir9UZA.jpg?width=1080&height=1350	./site/framerusercontent.com/images/x7smEFjrGw9ef3ZVZHzVir9UZA6c9c.jpg	(from https://beloved-ideas-595751.framer.app/)
18:53:13	283950/283950	---M-Z	200	added ('OK')	text/html	etag:%22a3013d307a0366f128b3610992e44552%22	https://beloved-ideas-595751.framer.app/blog/carocafe	./site/beloved-ideas-595751.framer.app/blog/carocafe.html	(from https://beloved-ideas-595751.framer.app/)
18:53:14	166711/166711	---MC-	200	added ('OK')	image/jpeg	etag:%22351f2bc1b13536af3326350340aee0a6%22	https://framerusercontent.com/images/oGQgz4iX3mwX1uowWZw4ZZllCVs.jpg?width=1080&height=1080	./site/framerusercontent.com/images/oGQgz4iX3mwX1uowWZw4ZZllCVs480f.jpg	(from https://beloved-ideas-595751.framer.app/)
18:53:15	282110/282110	---M-Z	200	added ('OK')	text/html	etag:%223f95dbee5a3a6bf8644d65b1f6949011%22	https://beloved-ideas-595751.framer.app/blog/pekanfood	./site/beloved-ideas-595751.framer.app/blog/pekanfood.html	(from https://beloved-ideas-595751.framer.app/)
18:53:16	385694/385694	---MC-	200	added ('OK')	image/jpeg	etag:%22a427438a11a7ea23a666dae6528accb9%22	https://framerusercontent.com/images/G6YPqYlzFGngJFmQf9QhCwqZy8.jpg?width=1080&height=1436	./site/framerusercontent.com/images/G6YPqYlzFGngJFmQf9QhCwqZy8941f.jpg	(from https://beloved-ideas-595751.framer.app/)
18:53:17	144673/144673	---MCZ	200	added ('OK')	text/javascript	etag:W/%22b9dc238125d7d74daab6ba67e558ede7%22	https://framerusercontent.com/sites/2Y0UmuDoO1qpwQmo1xElYF/react.B6XELhit.mjs	./site/framerusercontent.com/sites/2Y0UmuDoO1qpwQmo1xElYF/react.B6XELhit.mjs	(from https://beloved-ideas-595751.framer.app/)
18:53:18	191/191	---M--	200	added ('OK')	text/javascript	etag:%22e969b9bb0e10158787005a06c6bce71b%22	https://framerusercontent.com/sites/2Y0UmuDoO1qpwQmo1xElYF/rolldown-runtime.mGKE_U0z.mjs	./site/framerusercontent.com/sites/2Y0UmuDoO1qpwQmo1xElYF/rolldown-runtime.mGKE_U0z.mjs	(from https://beloved-ideas-595751.framer.app/)
18:53:19	440818/440818	---MCZ	200	added ('OK')	text/javascript	etag:W/%221b1c98da2db4e3ac26c4d82b43088520%22	https://framerusercontent.com/sites/2Y0UmuDoO1qpwQmo1xElYF/framer.BQYU0prW.mjs	./site/framerusercontent.com/sites/2Y0UmuDoO1qpwQmo1xElYF/framer.BQYU0prW.mjs	(from https://beloved-ideas-595751.framer.app/)
18:53:20	142152/142152	---MCZ	200	added ('OK')	text/javascript	etag:W/%22d0570a4a837ec9824611464a0583a0c7%22	https://framerusercontent.com/sites/2Y0UmuDoO1qpwQmo1xElYF/motion.DrIq5ixi.mjs	./site/framerusercontent.com/sites/2Y0UmuDoO1qpwQmo1xElYF/motion.DrIq5ixi.mjs	(from https://beloved-ideas-595751.framer.app/)
18:53:21	69460/69460	---MCZ	200	added ('OK')	text/javascript	etag:W/%22aa9d6b34a1b47acd771dfdd35d34d963%22	https://framerusercontent.com/sites/2Y0UmuDoO1qpwQmo1xElYF/_tCpLhFnxI-T0mDCbOVBQ3cYLpLEP9l9JNm-QCyPcAg.ClkUUime.mjs	./site/framerusercontent.com/sites/2Y0UmuDoO1qpwQmo1xElYF/_tCpLhFnxI-T0mDCbOVBQ3cYLpLEP9l9JNm-QCyPcAg.ClkUUime.mjs	(from https://beloved-ideas-595751.framer.app/)
18:53:22	90824/90824	---MCZ	200	added ('OK')	text/javascript	etag:W/%22d4043269351b59a779e96732b6b702ed%22	https://framerusercontent.com/sites/2Y0UmuDoO1qpwQmo1xElYF/shared-lib.jbfItQ3q.mjs	./site/framerusercontent.com/sites/2Y0UmuDoO1qpwQmo1xElYF/shared-lib.jbfItQ3q.mjs	(from https://beloved-ideas-595751.framer.app/)
18:53:23	23855/23855	---MCZ	200	added ('OK')	text/javascript	etag:W/%2275de8810b2e136cde86980b9e37ef7bd%22	https://framerusercontent.com/sites/2Y0UmuDoO1qpwQmo1xElYF/wg8Xs5Yw0.C6Rcvj7-.mjs	./site/framerusercontent.com/sites/2Y0UmuDoO1qpwQmo1xElYF/wg8Xs5Yw0.C6Rcvj7-.mjs	(from https://beloved-ideas-595751.framer.app/)
18:53:24	17278/17278	---MCZ	200	added ('OK')	text/javascript	etag:W/%22c9a1f0bf746e4df921be7e9fe1169b4d%22	https://framerusercontent.com/sites/2Y0UmuDoO1qpwQmo1xElYF/cV2rOZ7x0.D896HtwK.mjs	./site/framerusercontent.com/sites/2Y0UmuDoO1qpwQmo1xElYF/cV2rOZ7x0.D896HtwK.mjs	(from https://beloved-ideas-595751.framer.app/)
18:53:25	12774/12774	---MCZ	200	added ('OK')	text/javascript	etag:W/%22e96ae6ae987f80fcb6acfb138f013bd8%22	https://framerusercontent.com/sites/2Y0UmuDoO1qpwQmo1xElYF/jEDtVwaqo.pVAWr-jL.mjs	./site/framerusercontent.com/sites/2Y0UmuDoO1qpwQmo1xElYF/jEDtVwaqo.pVAWr-jL.mjs	(from https://beloved-ideas-595751.framer.app/)
18:53:26	2154/2154	---MCZ	200	added ('OK')	text/javascript	etag:W/%222fe8e4bb432b611313a07649bdaaaad0%22	https://framerusercontent.com/sites/2Y0UmuDoO1qpwQmo1xElYF/XIGoCDuXA.UAtX3qHV.mjs	./site/framerusercontent.com/sites/2Y0UmuDoO1qpwQmo1xElYF/XIGoCDuXA.UAtX3qHV.mjs	(from https://beloved-ideas-595751.framer.app/)
18:53:27	1504/1504	---MCZ	200	added ('OK')	text/javascript	etag:W/%22bde2da2de2ed1557b279824b5127a758%22	https://framerusercontent.com/sites/2Y0UmuDoO1qpwQmo1xElYF/Tp5XTy5N_.B2AkD4nP.mjs	./site/framerusercontent.com/sites/2Y0UmuDoO1qpwQmo1xElYF/Tp5XTy5N_.B2AkD4nP.mjs	(from https://beloved-ideas-595751.framer.app/)
18:53:27	804/804	---M--	200	added ('OK')	text/javascript	etag:%2207ff5be1618ef541ed990643654ae6b2%22	https://framerusercontent.com/sites/2Y0UmuDoO1qpwQmo1xElYF/augiA20Il.lDqVneVb.mjs	./site/framerusercontent.com/sites/2Y0UmuDoO1qpwQmo1xElYF/augiA20Il.lDqVneVb.mjs	(from https://beloved-ideas-595751.framer.app/)
18:53:29	5996/5996	---MCZ	200	added ('OK')	text/javascript	etag:W/%22a7c53cd5a4beabc25f9ef1de17398a2f%22	https://framerusercontent.com/sites/2Y0UmuDoO1qpwQmo1xElYF/script_main.C6re57By.mjs	./site/framerusercontent.com/sites/2Y0UmuDoO1qpwQmo1xElYF/script_main.C6re57By.mjs	(from https://beloved-ideas-595751.framer.app/)
18:53:29	16/16	---M--	400	error ('Bad%20Request')	application/json	date:Tue,%2020%20Jan%202026%2010:53:29%20GMT	https://framerusercontent.com/images/x7smEFjrGw9ef3ZVZHzVir9UZA.jpg?scale-down-to=1024&width=1080&height=1350%20819w,https://framerusercontent.com/images/x7smEFjrGw9ef3ZVZHzVir9UZA.jpg?width=1080&height=1350%201080w	./site/framerusercontent.com/images/x7smEFjrGw9ef3ZVZHzVir9UZA53db.jpg	(from https://beloved-ideas-595751.framer.app/)
18:53:30	16/16	---M--	400	error ('Bad%20Request')	application/json	date:Tue,%2020%20Jan%202026%2010:53:30%20GMT	https://framerusercontent.com/images/oGQgz4iX3mwX1uowWZw4ZZllCVs.jpg?scale-down-to=512&width=1080&height=1080%20512w,https://framerusercontent.com/images/oGQgz4iX3mwX1uowWZw4ZZllCVs.jpg?scale-down-to=1024&width=1080&height=1080%201024w,https://framerusercontent.com/images/oGQgz4iX3mwX1uowWZw4ZZllCVs.jpg?width=1080&height=1080%201080w	./site/framerusercontent.com/images/oGQgz4iX3mwX1uowWZw4ZZllCVs2dab.jpg	(from https://beloved-ideas-595751.framer.app/)
18:53:31	16/16	---M--	400	error ('Bad%20Request')	application/json	date:Tue,%2020%20Jan%202026%2010:53:31%20GMT	https://framerusercontent.com/images/G6YPqYlzFGngJFmQf9QhCwqZy8.jpg?scale-down-to=1024&width=1080&height=1436%20770w,https://framerusercontent.com/images/G6YPqYlzFGngJFmQf9QhCwqZy8.jpg?width=1080&height=1436%201080w	./site/framerusercontent.com/images/G6YPqYlzFGngJFmQf9QhCwqZy8df21.jpg	(from https://beloved-ideas-595751.framer.app/)
18:53:32	1571/1571	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2020%20Jan%202026%2010:53:32%20GMT	https://fonts.gstatic.com/robots.txt		(from https://beloved-ideas-595751.framer.app/)
18:53:34	18470/18470	---MCZ	200	added ('OK')	text/javascript	etag:W/%22a2a5416c44bec3f5615110fe26470672%22	https://framerusercontent.com/sites/2Y0UmuDoO1qpwQmo1xElYF/zJd0sC_NHWLKzfeC8mUMgSC_LowWPDSu7LcfytRp7AY.DI6LDsk0.mjs	./site/framerusercontent.com/sites/2Y0UmuDoO1qpwQmo1xElYF/zJd0sC_NHWLKzfeC8mUMgSC_LowWPDSu7LcfytRp7AY.DI6LDsk0.mjs	(from https://beloved-ideas-595751.framer.app/blog)
18:53:34	806/806	---M--	200	added ('OK')	text/javascript	etag:%224b25097697ddc00efe70aa530e3a9ae8%22	https://framerusercontent.com/sites/2Y0UmuDoO1qpwQmo1xElYF/ytGvIXsSG.BiNs1RSW.mjs	./site/framerusercontent.com/sites/2Y0UmuDoO1qpwQmo1xElYF/ytGvIXsSG.BiNs1RSW.mjs	(from https://beloved-ideas-595751.framer.app/blog)
18:53:36	15260/15260	---MCZ	200	added ('OK')	text/javascript	etag:W/%22eab24475105da28e6adad0359ff7bcdb%22	https://framerusercontent.com/sites/2Y0UmuDoO1qpwQmo1xElYF/EkbBy-3pGnmBfTNYmFzzqsgK7BHfbigQ2bXVonHFb1I.DauwqiyE.mjs	./site/framerusercontent.com/sites/2Y0UmuDoO1qpwQmo1xElYF/EkbBy-3pGnmBfTNYmFzzqsgK7BHfbigQ2bXVonHFb1I.DauwqiyE.mjs	(from https://beloved-ideas-595751.framer.app/contact)
18:53:37	4762/4762	---MCZ	200	added ('OK')	text/javascript	etag:W/%22f1d154d71e18496d8c1f26012322b1b0%22	https://framerusercontent.com/sites/2Y0UmuDoO1qpwQmo1xElYF/GTgVTZPwV.w8WptBan.mjs	./site/framerusercontent.com/sites/2Y0UmuDoO1qpwQmo1xElYF/GTgVTZPwV.w8WptBan.mjs	(from https://beloved-ideas-595751.framer.app/contact)
18:53:37	807/807	---M--	200	added ('OK')	text/javascript	etag:%2224cf66512347f1ce7b351700c8f291d3%22	https://framerusercontent.com/sites/2Y0UmuDoO1qpwQmo1xElYF/SsHq0IvYb.Cn5o7q93.mjs	./site/framerusercontent.com/sites/2Y0UmuDoO1qpwQmo1xElYF/SsHq0IvYb.Cn5o7q93.mjs	(from https://beloved-ideas-595751.framer.app/contact)
18:53:40	214959/214959	---MC-	200	added ('OK')	image/jpeg	etag:%22df57fb3cf3822dc2d1a09bde6a084d5a%22	https://framerusercontent.com/images/KNXRDg2XQTaTHgVCSyfR9b7U0Dw.jpg?width=1080&height=1440	./site/framerusercontent.com/images/KNXRDg2XQTaTHgVCSyfR9b7U0Dw6b40.jpg	(from https://beloved-ideas-595751.framer.app/blog/aprilleaf)
18:53:42	336531/336531	---MC-	200	added ('OK')	image/jpeg	etag:%2282272d7448aba4437356daed6276a5ce%22	https://framerusercontent.com/images/uSoodWmswQhgx9DqnEDNz5r1sk.jpg?width=1080&height=1436	./site/framerusercontent.com/images/uSoodWmswQhgx9DqnEDNz5r1sk941f.jpg	(from https://beloved-ideas-595751.framer.app/blog/aprilleaf)
